Feature,Importancia,Horizonte,Label,Categoria
precipitation_anomaly_lag4,0.312,3,h=3,Precipitación
humidity_mean_anomaly_lag1,0.275,3,h=3,Humedad/Calor
humidity_mean_anomaly_lag2,0.075,3,h=3,Humedad/Calor
humidity_mean_anomaly_lag3,0.092,3,h=3,Humedad/Calor
humidity_mean_anomaly_lag4,0.033,3,h=3,Humedad/Calor
semana_sin,21.21,3,h=3,Estacionalidad
semana_cos,0.501,3,h=3,Estacionalidad
mes_aprox,39.082,3,h=3,Estacionalidad
comuna_id,0.312,3,h=3,Geografía
es_comuna_1,0.56,3,h=3,Geografía
poblacion,0.212,3,h=3,Geografía
cases_lag1,0.318,4,h=4,Casos propios
cases_lag2,0.151,4,h=4,Casos propios
cases_lag3,0.188,4,h=4,Casos propios
cases_lag4,0.111,4,h=4,Casos propios
incidencia_lag1,0.507,4,h=4,Casos propios
incidencia_lag2,0.288,4,h=4,Casos propios
incidencia_lag3,0.172,4,h=4,Casos propios
incidencia_lag4,0.145,4,h=4,Casos propios
casos_vecinas_lag1,0.072,4,h=4,Vecindad espacial
incidencia_vecinas_lag1,0.103,4,h=4,Vecindad espacial
temp_mean,0.243,4,h=4,Temperatura
precipitation,0.11,4,h=4,Precipitación
humidity_mean,0.322,4,h=4,Humedad/Calor
heat_index_mean,0.197,4,h=4,Humedad/Calor
temp_mean_anomaly,0.08,4,h=4,Temperatura
precipitation_anomaly,0.072,4,h=4,Precipitación
humidity_mean_anomaly,0.086,4,h=4,Humedad/Calor
temp_mean_lag1,0.067,4,h=4,Temperatura
temp_mean_lag2,0.165,4,h=4,Temperatura
temp_mean_lag3,1.028,4,h=4,Temperatura
temp_mean_lag4,3.891,4,h=4,Temperatura
precipitation_lag1,0.055,4,h=4,Precipitación
precipitation_lag2,0.059,4,h=4,Precipitación
precipitation_lag3,0.074,4,h=4,Precipitación
precipitation_lag4,0.065,4,h=4,Precipitación
humidity_mean_lag1,3.5,4,h=4,Humedad/Calor
humidity_mean_lag2,2.114,4,h=4,Humedad/Calor
humidity_mean_lag3,0.029,4,h=4,Humedad/Calor
humidity_mean_lag4,0.073,4,h=4,Humedad/Calor
heat_index_mean_lag1,0.06,4,h=4,Humedad/Calor
heat_index_mean_lag2,1.337,4,h=4,Humedad/Calor
heat_index_mean_lag3,5.289,4,h=4,Humedad/Calor
heat_index_mean_lag4,31.134,4,h=4,Humedad/Calor
temp_mean_anomaly_lag1,0.058,4,h=4,Temperatura
temp_mean_anomaly_lag2,0.032,4,h=4,Temperatura
temp_mean_anomaly_lag3,0.035,4,h=4,Temperatura
temp_mean_anomaly_lag4,0.033,4,h=4,Temperatura
precipitation_anomaly_lag1,0.064,4,h=4,Precipitación
precipitation_anomaly_lag2,0.243,4,h=4,Precipitación
precipitation_anomaly_lag3,0.329,4,h=4,Precipitación
precipitation_anomaly_lag4,0.057,4,h=4,Precipitación
humidity_mean_anomaly_lag1,0.043,4,h=4,Humedad/Calor
humidity_mean_anomaly_lag2,0.076,4,h=4,Humedad/Calor
humidity_mean_anomaly_lag3,0.029,4,h=4,Humedad/Calor
humidity_mean_anomaly_lag4,0.429,4,h=4,Humedad/Calor
semana_sin,0.4,4,h=4,Estacionalidad
semana_cos,0.084,4,h=4,Estacionalidad
mes_aprox,45.181,4,h=4,Estacionalidad
comuna_id,0.266,4,h=4,Geografía
es_comuna_1,0.397,4,h=4,Geografía
poblacion,0.139,4,h=4,Geografía
