Modelo,Split,Horizonte,Comuna,Nombre,MAE,RMSE,R2,N,media_real,max_real
XGBoost,Train,4,11,C11 Villa del Parque,1.64,4.77,0.992,48,22.44,261.0
LSTM+aug,Train,4,11,C11 Villa del Parque,3.96,9.51,-0.076,40,3.55,45.0
Persistencia,Train,4,12,C12 Coghlan,2.86,7.13,0.657,51,5.0,58.0
XGBoost,Train,4,12,C12 Coghlan,1.15,3.02,0.941,48,5.58,58.0
LSTM+aug,Train,4,12,C12 Coghlan,1.89,3.41,-0.018,40,1.48,15.0
Persistencia,Train,4,13,C13 Belgrano,2.75,6.15,0.772,51,6.04,51.0
XGBoost,Train,4,13,C13 Belgrano,1.16,2.79,0.955,48,6.69,51.0
LSTM+aug,Train,4,13,C13 Belgrano,1.96,3.48,-0.052,40,1.8,15.0
Persistencia,Train,4,14,C14 Palermo,6.04,15.52,0.764,51,13.02,142.0
XGBoost,Train,4,14,C14 Palermo,2.89,8.83,0.927,48,14.02,142.0
LSTM+aug,Train,4,14,C14 Palermo,2.56,5.04,-0.053,40,2.15,24.0
Persistencia,Train,4,15,C15 Agronomía,4.9,11.51,0.665,51,8.78,84.0
XGBoost,Train,4,15,C15 Agronomía,1.15,2.6,0.983,48,9.94,84.0
LSTM+aug,Train,4,15,C15 Agronomía,3.41,7.26,-0.08,40,3.0,34.0
Persistencia,Validation,0,1,C1 Puerto Madero,106.96,152.74,0.899,26,435.5,1391.0
Random Forest,Validation,0,1,C1 Puerto Madero,242.78,393.08,0.334,26,435.5,1391.0
XGBoost,Validation,0,1,C1 Puerto Madero,243.4,410.95,0.272,26,435.5,1391.0
LSTM+aug,Validation,0,1,C1 Puerto Madero,357.71,541.43,-0.332,14,369.71,1391.0
Persistencia,Validation,0,2,C2 Recoleta,4.04,5.98,0.799,26,11.88,48.0
Random Forest,Validation,0,2,C2 Recoleta,3.67,7.19,0.708,26,11.88,48.0
XGBoost,Validation,0,2,C2 Recoleta,4.32,9.12,0.532,26,11.88,48.0
LSTM+aug,Validation,0,2,C2 Recoleta,87.4,88.69,-33.607,14,12.0,48.0
Persistencia,Validation,0,3,C3 Balvanera,9.58,12.77,0.896,26,35.27,120.0
